time,temp
0,22.39742701
0.5,22.27793171
1,22.22982895
1.5,22.18171844
2,22.18171844
2.5,22.06213695
3,22.08547381
3.5,22.01399865
4,21.91769727
4.5,21.86953397
5,21.84471925
5.5,21.79800297
6,21.74981823
6.5,21.72499235
7,21.70162467
7.5,21.74981823
8,21.86953397
8.5,21.96585212
9,22.10880877
9.5,22.20504572
10,22.27793171
10.5,22.34934299
11,22.44550366
11.5,22.49357307
12,22.51687686
12.5,22.5649357
13,22.5649357
13.5,22.58969055
14,22.61298755
14.5,22.63773884
15,22.66103252
15.5,22.66103252
16,22.68432461
16.5,22.68432461
17,22.68432461
17.5,22.68432461
18,22.73235957
18.5,22.73235957
19,22.73235957
19.5,22.73235957
20,22.78038792
20.5,22.78038792
21,22.78038792
21.5,22.78038792
22,22.82840976
22.5,22.80512725
23,22.82840976
23.5,22.78038792
24,22.80512725
24.5,22.85314578
25,22.85314578
25.5,22.85314578
26,22.82840976
26.5,22.85314578
27,22.82840976
27.5,22.8764252
28,22.82840976
28.5,22.82840976
29,22.8764252
29.5,22.82840976
30,22.82840976
30.5,22.82840976
31,22.82840976
31.5,22.85314578
32,22.85314578
32.5,22.85314578
33,22.90115797
33.5,22.92443435
34,22.94770928
34.5,22.94770928
35,22.92443435
35.5,22.8764252
36,22.94770928
36.5,22.94770928
37,22.92443435
37.5,22.90115797
38,22.8764252
38.5,22.92443435
39,22.92443435
39.5,22.94770928
40,22.94770928
40.5,22.8764252
41,22.99570928
41.5,22.97243731
42,22.97243731
42.5,22.99570928
43,22.99570928
43.5,22.99570928
44,23.02043419
44.5,23.04370325
45,23.04370325
45.5,23.0684251
46,23.13967353
46.5,23.16438941
47,23.16438941
47.5,23.18765005
48,23.2588776
48.5,23.28358637
49,23.2588776
49.5,23.28358637
50,23.33154639
50.5,23.33154639
51,23.40275001
51.5,23.45069707
52,23.4753951
52.5,23.52188194
53,23.5465762
53.5,23.59450848
54,23.71359274
54.5,23.73827744
55,23.80942097
55.5,23.80942097
56,23.80942097
56.5,23.85732866
57,23.88055513
57.5,23.97635427
58,24.00102726
58.5,23.9284567
59,24.00102726
59.5,24.00102726
60,24.12002408
60.5,24.26366166
61,24.21578588
61.5,24.28687298
62,24.23899879
62.5,24.19112128
63,24.21578588
63.5,24.26366166
64,24.21578588
64.5,24.31153418
65,24.31153418
65.5,24.31153418
66,24.31153418
66.5,24.31153418
67,24.43047664
67.5,24.47833856
68,24.47833856
68.5,24.50154332
69,24.50154332
69.5,24.59725624
70,24.69295893
70.5,24.7408067
71,24.7408067
71.5,24.71615814
72,24.69295893
72.5,24.7408067
73,24.7408067
73.5,24.69295893
74,24.76400481
74.5,24.78865222
75,24.83649559
75.5,24.83649559
76,24.81184927
76.5,24.81184927
77,24.85969164
77.5,24.93072665
78,24.95537048
78.5,25.02640009
79,25.0742343
79.5,25.14525804
80,25.24091789
80.5,25.14525804
81,25.14525804
81.5,25.14525804
82,25.24091789
82.5,25.33657298
83,25.28874598
83.5,25.33657298
84,25.33657298
84.5,25.36121074
85,25.40903629
85.5,25.43222413
86,25.40903629
86.5,25.40903629
87,25.40903629
87.5,25.43222413
88,25.45541179
88.5,25.45541179
89,25.5032358
89.5,25.5032358
90,25.52787215
90.5,25.55105917
91,25.55105917
